Period,Time,Strength,Team,Shooter,Shot Type,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Screen?,Rush?,Origin,Oddman?,G?,State,Entry Type,Entry By,Defended by,Pass?,Lane,Dump recovered?,Chance?,Retrieval,Result,Pressure,Exit,Result,Game ID,Home,Road,Date
1,17:41,5v5,PHI,21,w,62,20,,oelc,ol,,,,,f,oz,,,0,,,,,,,,,,,,,20489,,,
1,17:34,5v5,PHI,62,w,,,,,,,y,y,,f,oz,,,0,,,,,,,,,,,,,20489,,,
1,17:04,5v5,NYR,55,w,23,91,,or,opr,,,,,f,oz,,,0,,,,,,,,,,,,,20489,,,
1,16:26,5v5,PHI,25,w,49,,,oelr,,,,y,,f,oz,,,0,,,,,,,,,,,,,20489,,,
1,15:54,5v5,PHI,49,w,11,86,,ol,dl,,,,,r,dz,,,0,,,,,,,,,,,,,20489,,,
1,15:45,5v5,NYR,10,W,79,,,dl,,,,,,r,dz,,,0,,,,,,,,,,,,,20489,,,
1,14:35,5v5,NYR,72,w,23,13,,or,opr,,y,y,,f,dz,,,0,,,,,,,,,,,,,20489,,,
1,13:11,5v5,NYR,10,w,,,,,,,,y,,f,oz,,,0,,,,,,,,,,,,,20489,,,
1,12:53,5v5,NYR,5,w,,,,,,,y,,,r,nz,3 on 1,,0,,,,,,,,,,,,,20489,,,
1,12:49,5v5,PHI,25,w,74,25,,ol,nr,,y,y,,r,dz,,y,0,,,,,,,,,,,,,20489,,,
1,12:27,5v5,NYR,55,w,20,26,23,or,dr,dr,y,,,r,dz,,,1,,,,,,,,,,,,,20489,,,
1,12:10,5v5,NYR,20,w,26,16,55,oc,nr,dr,,,,r,dz,,,1,,,,,,,,,,,,,20489,,,
1,12:06,5v5,NYR,20,r,,,,,,,y,y,,r,dz,,,1,,,,,,,,,,,,,20489,,,
1,12:00,5v5,NYR,16,t,23,26,,oc,or,,y,,,c,oz,,,1,,,,,,,,,,,,,20489,,,
1,10:35,5v5,PHI,86,w,,,,,,,y,y,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,8:43,5v5,NYR,74,t,4,16,,or,opl,,y,y,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,8:39,5v5,PHI,25,W,74,,,dsr,,,y,y,,r,dz,2 on 1,,1,,,,,,,,,,,,,20489,,,
1,8:12,5v5,PHI,24,w,62,,,opl,,,,,,c,oz,,,1,,,,,,,,,,,,,20489,,,
1,8:11,5v5,PHI,62,r,,,,,,,,,,c,oz,,,1,,,,,,,,,,,,,20489,,,
1,7:29,5v5,PHI,86,t,9,11,,ol,opl,,,,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,7:17,5v5,PHI,86,w,11,,,ol,,,,,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,7:00,5v5,NYR,5,w,4,13,,or,opr,,,,,c,oz,,,1,,,,,,,,,,,,,20489,,,
1,6:15,5v5,PHI,74,w,25,,,oell,,,y,y,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,5:53,5v5,PHI,11,w,38,,,oc,,,,,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,5:02,5v5,NYR,91,w,74,23,,or,or,,y,y,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,4:58,5v5,NYR,91,w,76,,,oelc,,,y,y,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,4:43,5v5,NYR,26,W,,,,,,,,,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,3:50,5v5,PHI,45,w,,,,,,,y,y,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,3:02,5v5,NYR,10,o,21,93,10,orrl,ol,dr,y,y,,r,dz,,y,1,,,,,,,,,,,,,20489,,,
1,1:44,5v5,PHI,48,w,,,,,,,,,,f,oz,,,0,,,,,,,,,,,,,20489,,,
1,1:24,5v5,NYR,16,w,26,,,nr,,,y,,,r,dz,2 on 1,,0,,,,,,,,,,,,,20489,,,
2,19:17,5v4,PHI,77,w,48,25,,opl,or,,,y,,,,,,0,,,,,,,,,,,,,20489,,,
2,18:20,5v5,NYR,10,w,93,26,16,or,nc,dr,,,,r,dz,,,0,,,,,,,,,,,,,20489,,,
2,18:06,5v5,NYR,10,w,55,10,23,ol,ol,ol,,y,,c,oz,,,0,,,,,,,,,,,,,20489,,,
2,17:03,5v5,NYR,76,w,91,,,ol,,,,y,,f,oz,,,0,,,,,,,,,,,,,20489,,,
2,16:25,5v5,PHI,21,w,62,,,oelc,,,y,y,,f,oz,,,0,,,,,,,,,,,,,20489,,,
2,16:08,5v5,PHI,21,w,62,9,,oell,ol,,,,,c,oz,,,0,,,,,,,,,,,,,20489,,,
2,15:12,5v4,PHI,21,w,77,21,,oc,ol,,,,,,,,,0,,,,,,,,,,,,,20489,,,
2,14:34,5v4,PHI,77,w,11,,,opl,,,,,,,,,,0,,,,,,,,,,,,,20489,,,
2,14:31,5v4,PHI,48,o,11,,,ol,,,,,,,,,,0,,,,,,,,,,,,,20489,,,
2,13:42,5v4,PHI,6,o,74,,,orrl,,,y,y,,,,,,0,,,,,,,,,,,,,20489,,,
2,13:33,5v4,PHI,86,w,49,86,74,ol,oc,ol,y,y,,,,,,0,,,,,,,,,,,,,20489,,,
2,13:32,5v5,PHI,49,r,,,,,,,,,,,,,,0,,,,,,,,,,,,,20489,,,
2,13:14,5v5,PHI,86,o,74,,,opl,,,,,,,,,,0,,,,,,,,,,,,,20489,,,
2,13:13,5v5,PHI,49,r,,,,,,,y,y,,,,,,0,,,,,,,,,,,,,20489,,,
2,12:27,5v4,PHI,11,o,77,11,77,oc,ol,or,,y,y,,,,,0,,,,,,,,,,,,,20489,,,
2,12:09,5v4,PHI,48,b,11,77,,orrl,oc,,y,y,,,,,,0,,,,,,,,,,,,,20489,,,
2,11:04,5v5,PHI,77,w,11,,,or,,,,y,y,c,oz,,,0,,,,,,,,,,,,,20489,,,
2,10:51,5v5,NYR,79,B,,,,,,,y,y,,r,dz,1 on 0,y,0,,,,,,,,,,,,,20489,,,
2,8:44,5v5,NYR,5,w,24,4,72,opr,or,or,,y,,c,oz,,,0,,,,,,,,,,,,,20489,,,
2,8:09,5v5,NYR,76,w,,,,,,,,y,,r,nz,,,0,,,,,,,,,,,,,20489,,,
2,7:46,5v5,NYR,21,b,93,10,8,orrr,or,nr,y,y,,r,nz,1 on 0,y,0,,,,,,,,,,,,,20489,,,
2,7:11,5v5,PHI,25,W,74,,,nl,,,,y,,r,nz,,,-2,,,,,,,,,,,,,20489,,,
2,6:05,5v5,NYR,13,w,8,26,,or,opl,,,y,,c,nz,,,-2,,,,,,,,,,,,,20489,,,
2,4:30,5v5,NYR,91,b,23,76,74,or,oc,nl,y,y,,r,nz,,,-2,,,,,,,,,,,,,20489,,,
2,2:59,5v5,PHI,49,b,86,11,49,ol,ol,nc,y,,,r,nz,,,-2,,,,,,,,,,,,,20489,,,
2,2:47,5v5,PHI,86,w,77,,,nc,,,y,y,,r,nz,,,-2,,,,,,,,,,,,,20489,,,
2,2:32,5v5,PHI,86,o,11,77,11,oc,oc,ol,y,y,,f,oz,,,-2,,,,,,,,,,,,,20489,,,
2,2:23,5v5,NYR,20,w,23,,,dsr,,,y,y,,r,dz,1 on 0,,-2,,,,,,,,,,,,,20489,,,
2,2:12,5v4,NYR,93,w,10,,,or,,,y,,,,,,,-2,,,,,,,,,,,,,20489,,,
2,2:04,4v5,PHI,21,B,,,,,,,y,y,,r,dz,1 on 0,y,-2,,,,,,,,,,,,,20489,,,
2,1:50,5v4,NYR,20,w,93,,,nl,,,,y,,r,,,,-1,,,,,,,,,,,,,20489,,,
2,1:25,5v4,NYR,93,o,16,23,,oc,or,,,,,,,,,-1,,,,,,,,,,,,,20489,,,
2,1:17,5v4,NYR,93,w,,,,,,,,,,,,,,-1,,,,,,,,,,,,,20489,,,
2,1:02,4v5,PHI,49,b,,,,,,,y,y,,,,,,-1,,,,,,,,,,,,,20489,,,
3,19:08,5v5,PHI,74,w,,,,,,,,,,f,oz,,,-1,,,,,,,,,,,,,20489,,,
3,19:01,5v5,PHI,45,w,48,,,ofp,,,,,,,,,,-1,,,,,,,,,,,,,20489,,,
3,18:28,5v5,NYR,8,w,20,16,79,ol,ol,dl,,y,y,r,dz,,,-1,,,,,,,,,,,,,20489,,,
3,18:27,5v5,NYR,26,r,,,,,,,y,y,,r,dz,,,-1,,,,,,,,,,,,,20489,,,
3,18:16,5v5,NYR,24,w,4,8,16,ol,or,opr,,,,c,oz,,,-1,,,,,,,,,,,,,20489,,,
3,18:03,5v5,NYR,5,w,72,,,ofp,,,,,,,,,,-1,,,,,,,,,,,,,20489,,,
3,17:16,5v5,NYR,23,w,55,93,,ol,opl,,,,,c,oz,,,-1,,,,,,,,,,,,,20489,,,
3,16:55,5v5,PHI,55,w,11,,,opr,,,,,,f,oz,,,-1,,,,,,,,,,,,,20489,,,
3,15:58,5v5,NYR,8,w,79,26,16,ol,or,opr,,y,y,c,dz,,,-1,,,,,,,,,,,,,20489,,,
3,15:51,5v5,NYR,74,w,5,4,,ol,or,,,,,,,,,-1,,,,,,,,,,,,,20489,,,
3,15:42,5v5,NYR,5,w,76,91,74,opl,ol,ol,,,,c,oz,,,-1,,,,,,,,,,,,,20489,,,
3,15:31,5v5,NYR,5,w,,,,,,,,,,f,oz,,,-1,,,,,,,,,,,,,20489,,,
3,15:26,5v5,NYR,91,w,4,,,or,,,,y,,f,oz,,,-1,,,,,,,,,,,,,20489,,,
3,15:18,5v5,NYR,23,W,,,,,,,,y,,f,oz,,,-1,,,,,,,,,,,,,20489,,,
3,14:40,5v5,PHI,74,w,48,,,of,,,,,,,,,,-1,,,,,,,,,,,,,20489,,,
3,13:38,5v5,NYR,26,w,16,,,or,,,y,y,,f,oz,,y,-1,,,,,,,,,,,,,20489,,,
3,13:05,5v5,PHI,11,w,86,49,11,orrl,ol,ol,y,,,f,oz,,,-2,,,,,,,,,,,,,20489,,,
3,12:35,5v5,NYR,72,O,13,20,72,ol,ol,ol,,,,c,oz,,,-2,,,,,,,,,,,,,20489,,,
3,12:07,5v5,PHI,48,w,6,45,,nl,dc,,y,y,,r,dz,,y,-2,,,,,,,,,,,,,20489,,,
3,11:42,5v5,NYR,74,w,91,,,ol,,,,,,f,oz,,,-1,,,,,,,,,,,,,20489,,,
3,11:16,5v5,NYR,79,o,10,21,8,opl,dsr,dr,,y,y,r,dz,,,-1,,,,,,,,,,,,,20489,,,
3,11:09,5v5,NYR,10,o,23,55,,orrr,ol,,,,,,,,,-1,,,,,,,,,,,,,20489,,,
3,10:39,5v5,PHI,48,w,11,,,nl,,,,,,r,dz,,,-1,,,,,,,,,,,,,20489,,,
3,9:12,5v5,NYR,20,w,26,5,,dr,dl,,,y,,r,dz,,,-1,,,,,,,,,,,,,20489,,,
3,8:03,5v5,NYR,93,w,10,,,ol,,,y,y,,f,oz,,,-1,,,,,,,,,,,,,20489,,,
3,7:36,5v5,NYR,76,w,,,,,,,,y,,f,oz,,,-1,,,,,,,,,,,,,20489,,,
3,7:12,5v5,PHI,11,w,,,,,,,,,,,,,,-1,,,,,,,,,,,,,20489,,,
3,6:10,5v5,PHI,6,w,48,6,,ol,dr,,,y,,r,dz,,,-1,,,,,,,,,,,,,20489,,,
3,6:06,5v5,PHI,45,w,,,,,,,,y,,r,dz,,,-1,,,,,,,,,,,,,20489,,,
3,5:33,5v5,NYR,24,w,,,,,,,,y,,f,oz,,,-1,,,,,,,,,,,,,20489,,,
3,5:32,5v5,NYR,72,r,,,,,,,y,y,,f,oz,,,-1,,,,,,,,,,,,,20489,,,
3,5:23,5v5,NYR,24,t,23,55,,or,ol,,y,,,,,,,-1,,,,,,,,,,,,,20489,,,
3,5:03,5v5,PHI,74,w,,,,,,,,,,r,nz,,,-1,,,,,,,,,,,,,20489,,,
3,3:20,5v5,PHI,48,w,86,,,or,,,,,,f,oz,,,-1,,,,,,,,,,,,,20489,,,
1,18:01,5v5,,,,,,,,,,,,,,,,,,X,PHI,,,,,Y,,,,,,20489,,,
1,17:15,5v5,,,,,,,,,,,,,,,,,,D,91NYR,N,,R,N,N,,,,,,20489,,,
1,16:34,5v5,,,,,,,,,,,,,,,,,,D,49PHI,N,,C,74PHI,Y,,,,,,20489,,,
1,16:05,5v5,,,,,,,,,,,,,,,,,,D,8NYR,N,,R,N,N,,,,,,20489,,,
1,15:57,5v5,,,,,,,,,,,,,,,,,,C,11PHI,79NYR,Y,L,N,N,,,,,,20489,,,
1,15:48,5v5,,,,,,,,,,,,,,,,,,C,10NYR,77PHI,N,L,N,N,,,,,,20489,,,
1,15:21,5v5,,,,,,,,,,,,,,,,,,D,20NYR,N,,R,N,N,,,,,,20489,,,
1,15:08,5v5,,,,,,,,,,,,,,,,,,D,20PHI,N,,L,N,N,,,,,,20489,,,
1,14:41,5v5,,,,,,,,,,,,,,,,,,C,72NYR,9PHI,Y,R,N,Y,,,,,,20489,,,
1,14:30,5v5,,,,,,,,,,,,,,,,,,D,74PHI,55NYR,,R,N,N,,,,,,20489,,,
1,14:08,5v5,,,,,,,,,,,,,,,,,,D,6PHI,N,,L,N,N,,,,,,20489,,,
1,13:57,5v5,,,,,,,,,,,,,,,,,,F,91NYR,45PHI,,L,N,N,,,,,,20489,,,
1,13:51,5v5,,,,,,,,,,,,,,,,,,C,11PHI,79NYR,N,R,N,N,,,,,,20489,,,
1,13:38,5v5,,,,,,,,,,,,,,,,,,C,74NYR,77PHI,N,L,N,N,,,,,,20489,,,
1,13:18,5v5,,,,,,,,,,,,,,,,,,D,93NYR,77PHI,,L,10NYR,N,,,,,,20489,,,
1,13:04,5v5,,,,,,,,,,,,,,,,,,F,74PHI,5NYR,,L,N,N,,,,,,20489,,,
1,13:00,5v5,,,,,,,,,,,,,,,,,,C,5NYR,N,N,R,N,Y,,,,,,20489,,,
1,12:54,5v5,,,,,,,,,,,,,,,,,,C,25PHI,93NYR,Y,R,N,Y,,,,,,20489,,,
1,12:34,5v5,,,,,,,,,,,,,,,,,,C,20NYR,61PHI,Y,R,N,Y,,,,,,20489,,,
1,12:21,5v5,,,,,,,,,,,,,,,,,,C,20PHI,23NYR,Y,R,N,N,,,,,,20489,,,
1,12:12,5v5,,,,,,,,,,,,,,,,,,C,26NYR,45PHI,Y,C,N,y,,,,,,20489,,,
1,10:40,5v5,,,,,,,,,,,,,,,,,,X,PHI,,,,,y,,,,,,20489,,,
1,10:13,5v5,,,,,,,,,,,,,,,,,,C,93NYR,55PHI,N,L,N,N,,,,,,20489,,,
1,9:29,5v5,,,,,,,,,,,,,,,,,,D,49PHI,N,,L,N,N,,,,,,20489,,,
1,9:04,5v5,,,,,,,,,,,,,,,,,,D,76NYR,24PHI,,R,91NYR,N,,,,,,20489,,,
1,8:40,5v5,,,,,,,,,,,,,,,,,,C,25PHI,N,N,C,N,Y,,,,,,20489,,,
1,8:30,5v5,,,,,,,,,,,,,,,,,,C,16NYR,77PHI,N,L,N,N,,,,,,20489,,,
1,8:22,5v5,,,,,,,,,,,,,,,,,,C,21PHI,79NYR,N,R,N,N,,,,,,20489,,,
1,7:43,5v5,,,,,,,,,,,,,,,,,,D,49PHI,23NYR,,L,11PHI,N,,,,,,20489,,,
1,7:10,5v5,,,,,,,,,,,,,,,,,,C,24NYR,9PHI,N,R,N,N,,,,,,20489,,,
1,6:54,5v5,,,,,,,,,,,,,,,,,,D,4NYR,N,,R,N,N,,,,,,20489,,,
1,6:31,5v5,,,,,,,,,,,,,,,,,,D,4NYR,N,,R,N,N,,,,,,20489,,,
1,6:23,5v5,,,,,,,,,,,,,,,,,,D,74PHI,N,,R,25PHI,y,,,,,,20489,,,
1,5:33,5v5,,,,,,,,,,,,,,,,,,D,44PHI,23NYR,,L,N,N,,,,,,20489,,,
1,5:23,5v5,,,,,,,,,,,,,,,,,,C,76NYR,55PHI,N,L,N,y,,,,,,20489,,,
1,4:19,5v5,,,,,,,,,,,,,,,,,,D,62PHI,55NYR,,R,62PHI,N,,,,,,20489,,,
1,4:01,5v5,,,,,,,,,,,,,,,,,,D,45PHI,N,,R,N,Y,,,,,,20489,,,
1,3:08,5v5,,,,,,,,,,,,,,,,,,C,93NYR,77PHI,Y,L,N,Y,,,,,,20489,,,
1,2:49,5v5,,,,,,,,,,,,,,,,,,C,11PHI,79NYR,N,R,N,N,,,,,,20489,,,
1,2:37,5v5,,,,,,,,,,,,,,,,,,D,11PHI,8NYR,,L,49PHI,N,,,,,,20489,,,
1,1:55,5v5,,,,,,,,,,,,,,,,,,D,25PHI,N,,C,74PHI,N,,,,,,20489,,,
1,1:34,5v5,,,,,,,,,,,,,,,,,,F,6PHI,26NYR,,L,N,N,,,,,,20489,,,
1,1:31,5v5,,,,,,,,,,,,,,,,,,C,16NYR,N,N,C,N,Y,,,,,,20489,,,
2,19:40,5v4,,,,,,,,,,,,,,,,,,F,77PHI,20NYR,,R,N,N,,,,,,20489,,,
2,19:25,5v4,,,,,,,,,,,,,,,,,,D,77PHI,N,Y,C,N,N,,,,,,20489,,,
2,18:51,5v5,,,,,,,,,,,,,,,,,,X,NYR,,,,,,,,,,,20489,,,
2,18:35,5v5,,,,,,,,,,,,,,,,,,D,74PHI,5NYR,,R,N,N,,,,,,20489,,,
2,18:24,5v5,,,,,,,,,,,,,,,,,,C,93NYR,55PHI,Y,R,N,y,,,,,,20489,,,
2,17:59,5v5,,,,,,,,,,,,,,,,,,D,44PHI,23NYR,,L,N,N,,,,,,20489,,,
2,17:28,5v5,,,,,,,,,,,,,,,,,,C,72NYR,77PHI,N,L,N,N,,,,,,20489,,,
2,16:56,5v5,,,,,,,,,,,,,,,,,,D,74PHI,N,,L,N,N,,,,,,20489,,,
2,16:40,5v5,,,,,,,,,,,,,,,,,,D,74PHI,79NYR,,R,N,y,,,,,,20489,,,
2,15:45,5v5,,,,,,,,,,,,,,,,,,D,93NYR,N,,L,N,N,,,,,,20489,,,
2,14:55,5v4,,,,,,,,,,,,,,,,,,C,48PHI,N,y,L,N,N,,,,,,20489,,,
2,14:19,5v4,,,,,,,,,,,,,,,,,,D,25PHI,79NYR,,L,N,N,,,,,,20489,,,
2,13:59,5v4,,,,,,,,,,,,,,,,,,D,6PHI,79NYR,N,R,N,N,,,,,,20489,,,
2,13:04,4v5,,,,,,,,,,,,,,,,,,C,20NYR,N,N,R,N,N,,,,,,20489,,,
2,12:50,5v4,,,,,,,,,,,,,,,,,,C,48PHI,N,y,C,N,N,,,,,,20489,,,
2,10:52,5v5,,,,,,,,,,,,,,,,,,C,79NYR,6PHI,N,C,N,Y,,,,,,20489,,,
2,10:44,5v5,,,,,,,,,,,,,,,,,,D,74NYR,6PHI,,R,10NYR,N,,,,,,20489,,,
2,10:23,5v5,,,,,,,,,,,,,,,,,,C,74NYR,55PHI,N,L,N,N,,,,,,20489,,,
2,9:34,5v5,,,,,,,,,,,,,,,,,,D,72NYR,6PHI,,R,13NYR,N,,,,,,20489,,,
2,8:24,5v5,,,,,,,,,,,,,,,,,,F,20PHI,76NYR,,R,N,N,,,,,,20489,,,
2,8:10,5v5,,,,,,,,,,,,,,,,,,C,76NYR,N,N,C,N,N,,,,,,20489,,,
2,7:50,5v5,,,,,,,,,,,,,,,,,,C,10NYR,55PHI,Y,R,N,Y,,,,,,20489,,,
2,7:28,5v5,,,,,,,,,,,,,,,,,,C,93NYR,24PHI,N,C,N,N,,,,,,20489,,,
2,7:14,5v5,,,,,,,,,,,,,,,,,,C,74PHI,N,Y,L,N,N,,,,,,20489,,,
2,6:34,5v5,,,,,,,,,,,,,,,,,,C,20NYR,77PHI,N,C,N,N,,,,,,20489,,,
2,6:13,5v5,,,,,,,,,,,,,,,,,,C,26NYR,6PHI,N,C,N,N,,,,,,20489,,,
2,5:25,5v5,,,,,,,,,,,,,,,,,,D,38PHI,N,,R,N,N,,,,,,20489,,,
2,5:15,5v5,,,,,,,,,,,,,,,,,,D,72NYR,N,,L,N,N,,,,,,20489,,,
2,5:09,5v5,,,,,,,,,,,,,,,,,,C,62PHI,23NYR,N,L,N,N,,,,,,20489,,,
2,4:44,5v5,,,,,,,,,,,,,,,,,,F,44PHI,N,,R,N,N,,,,,,20489,,,
2,4:35,5v5,,,,,,,,,,,,,,,,,,C,74NYR,N,Y,L,N,y,,,,,,20489,,,
2,3:38,5v5,,,,,,,,,,,,,,,,,,D,74PHI,79NYR,,C,N,N,,,,,,20489,,,
2,3:04,5v5,,,,,,,,,,,,,,,,,,C,49PHI,N,Y,L,N,y,,,,,,20489,,,
2,2:50,5v5,,,,,,,,,,,,,,,,,,C,86PHI,8NYR,N,C,N,Y,,,,,,20489,,,
2,2:28,5v5,,,,,,,,,,,,,,,,,,C,20NYR,N,N,C,N,Y,,,,,,20489,,,
2,2:04,4v5,,,,,,,,,,,,,,,,,,C,21PHI,N,N,C,N,Y,,,,,,20489,,,
2,1:53,5v4,,,,,,,,,,,,,,,,,,C,93NYR,N,Y,L,N,N,,,,,,20489,,,
2,1:04,4v5,,,,,,,,,,,,,,,,,,C,49PHI,N,N,L,N,N,,,,,,20489,,,
2,0:55,5v4,,,,,,,,,,,,,,,,,,F,23NYR,61PHI,,L,N,N,,,,,,20489,,,
2,0:43,5v4,,,,,,,,,,,,,,,,,,D,16NYR,N,N,L,N,N,,,,,,20489,,,
2,0:21,5v4,,,,,,,,,,,,,,,,,,C,13NYR,N,N,L,N,N,,,,,,20489,,,
3,19:15,5v5,,,,,,,,,,,,,,,,,,D,6PHI,N,,L,74PHI,N,,,,,,20489,,,
3,18:55,5v5,,,,,,,,,,,,,,,,,,F,74PHI,16NYR,,L,N,N,,,,,,20489,,,
3,18:38,5v5,,,,,,,,,,,,,,,,,,D,24PHI,N,,L,N,N,,,,,,20489,,,
3,18:30,5v5,,,,,,,,,,,,,,,,,,C,16NYR,77PHI,Y,L,N,Y,,,,,,20489,,,
3,17:40,5v5,,,,,,,,,,,,,,,,,,D,93NYR,9PHI,,L,21NYR,N,,,,,,20489,,,
3,17:10,5v5,,,,,,,,,,,,,,,,,,D,49PHI,23NYR,,L,49PHI,N,,,,,,20489,,,
3,16:15,5v5,,,,,,,,,,,,,,,,,,C,25PHI,8NYR,N,L,N,N,,,,,,20489,,,
3,16:05,5v5,,,,,,,,,,,,,,,,,,C,16NYR,24PHI,Y,R,N,N,,,,,,20489,,,
3,15:05,5v5,,,,,,,,,,,,,,,,,,D,11PHI,N,,R,N,N,,,,,,20489,,,
3,13:55,5v5,,,,,,,,,,,,,,,,,,D,21PHI,4NYR,,L,N,N,,,,,,20489,,,
3,13:45,5v5,,,,,,,,,,,,,,,,,,D,20NYR,24PHI,,R,20NYR,Y,,,,,,20489,,,
3,13:30,5v5,,,,,,,,,,,,,,,,,,F,16NYR,55PHI,,C,N,N,,,,,,20489,,,
3,13:42,5v5,,,,,,,,,,,,,,,,,,C,9PHI,4NYR,N,L,N,N,,,,,,20489,,,
3,13:02,5v5,,,,,,,,,,,,,,,,,,C,16NYR,9PHI,N,R,N,N,,,,,,20489,,,
3,12:08,5v5,,,,,,,,,,,,,,,,,,C,6PHI,8NYR,Y,L,N,Y,,,,,,20489,,,
